sfm,threshold,fold,direction_code,direction_biological,r_at_1,r_at_5,r_at_10,note
crisprSFM,identity_100,mean_0-4,ag2ab,gRNA→OT,95.4 ± 6.5,98.6 ± 2.1,99.0 ± 1.5,5-fold mean (ddof=0)
crisprSFM,identity_100,0,ab2ag,OT→gRNA,87.5,92.2,94.6,
crisprSFM,identity_100,1,ab2ag,OT→gRNA,87.7,94.2,95.5,
crisprSFM,identity_100,2,ab2ag,OT→gRNA,82.8,90.5,93.1,
crisprSFM,identity_100,3,ab2ag,OT→gRNA,81.3,88.2,90.5,
crisprSFM,identity_100,4 *,ab2ag,OT→gRNA,34.6,46.0,56.4,
crisprSFM,identity_100,mean_0-4,ab2ag,OT→gRNA,74.8 ± 20.2,82.2 ± 18.2,86.0 ± 14.9,5-fold mean (ddof=0)
crisprSFM,hamming_080,0,ag2ab,gRNA→OT,93.8,98.2,99.1,
crisprSFM,hamming_080,1,ag2ab,gRNA→OT,90.9,96.0,98.6,
crisprSFM,hamming_080,2,ag2ab,gRNA→OT,86.8,96.6,98.6,
crisprSFM,hamming_080,3,ag2ab,gRNA→OT,87.9,96.3,98.3,
crisprSFM,hamming_080,4 *,ag2ab,gRNA→OT,75.4,90.5,94.0,
crisprSFM,hamming_080,mean_0-4,ag2ab,gRNA→OT,87.0 ± 6.3,95.5 ± 2.6,97.7 ± 1.9,5-fold mean (ddof=0)
crisprSFM,hamming_080,0,ab2ag,OT→gRNA,73.1,84.6,89.0,
crisprSFM,hamming_080,1,ab2ag,OT→gRNA,79.2,83.3,85.1,
crisprSFM,hamming_080,2,ab2ag,OT→gRNA,45.9,58.3,65.3,
crisprSFM,hamming_080,3,ab2ag,OT→gRNA,51.1,65.0,73.3,
crisprSFM,hamming_080,4 *,ab2ag,OT→gRNA,28.2,42.1,49.7,
crisprSFM,hamming_080,mean_0-4,ab2ag,OT→gRNA,55.5 ± 18.6,66.7 ± 16.0,72.5 ± 14.2,5-fold mean (ddof=0)
crisprSFM,hamming_060,0,ag2ab,gRNA→OT,91.3,98.6,99.7,
crisprSFM,hamming_060,1,ag2ab,gRNA→OT,93.9,99.6,100.0,
crisprSFM,hamming_060,2,ag2ab,gRNA→OT,93.2,97.5,97.8,
crisprSFM,hamming_060,3,ag2ab,gRNA→OT,87.8,96.7,98.1,
crisprSFM,hamming_060,4 *,ag2ab,gRNA→OT,79.0,92.6,95.9,
crisprSFM,hamming_060,mean_0-4,ag2ab,gRNA→OT,89.0 ± 5.4,97.0 ± 2.4,98.3 ± 1.5,5-fold mean (ddof=0)
crisprSFM,hamming_060,0,ab2ag,OT→gRNA,63.8,79.2,85.6,
crisprSFM,hamming_060,1,ab2ag,OT→gRNA,67.9,80.5,85.8,
crisprSFM,hamming_060,2,ab2ag,OT→gRNA,70.4,80.8,84.5,
crisprSFM,hamming_060,3,ab2ag,OT→gRNA,53.4,67.7,73.5,
crisprSFM,hamming_060,4 *,ab2ag,OT→gRNA,32.6,44.9,54.2,
crisprSFM,hamming_060,mean_0-4,ab2ag,OT→gRNA,57.6 ± 13.8,70.6 ± 13.7,76.7 ± 12.2,5-fold mean (ddof=0)
crisprSFM,hamming_040,0,ag2ab,gRNA→OT,94.4,98.8,99.5,
crisprSFM,hamming_040,1,ag2ab,gRNA→OT,91.3,95.1,96.7,
crisprSFM,hamming_040,2,ag2ab,gRNA→OT,97.2,99.5,99.5,
crisprSFM,hamming_040,3,ag2ab,gRNA→OT,90.4,97.8,99.0,
crisprSFM,hamming_040,4 *,ag2ab,gRNA→OT,74.8,88.6,92.8,
crisprSFM,hamming_040,mean_0-4,ag2ab,gRNA→OT,89.6 ± 7.8,96.0 ± 4.0,97.5 ± 2.6,5-fold mean (ddof=0)
crisprSFM,hamming_040,0,ab2ag,OT→gRNA,74.2,87.1,89.7,
crisprSFM,hamming_040,1,ab2ag,OT→gRNA,71.5,80.9,83.7,
crisprSFM,hamming_040,2,ab2ag,OT→gRNA,73.2,86.2,92.2,
crisprSFM,hamming_040,3,ab2ag,OT→gRNA,71.1,80.3,84.0,
crisprSFM,hamming_040,4 *,ab2ag,OT→gRNA,31.6,40.3,48.7,
crisprSFM,hamming_040,mean_0-4,ab2ag,OT→gRNA,64.3 ± 16.4,75.0 ± 17.5,79.7 ± 15.8,5-fold mean (ddof=0)
mir-SFM,identity_100,0,ag2ab,miRNA→target,98.4,100.0,100.0,
mir-SFM,identity_100,1,ag2ab,miRNA→target,98.1,100.0,100.0,
mir-SFM,identity_100,2,ag2ab,miRNA→target,98.5,100.0,100.0,
mir-SFM,identity_100,3,ag2ab,miRNA→target,98.3,100.0,100.0,
mir-SFM,identity_100,4 *,ag2ab,miRNA→target,96.8,100.0,100.0,
mir-SFM,identity_100,mean_0-4,ag2ab,miRNA→target,98.0 ± 0.6,100.0 ± 0.0,100.0 ± 0.0,5-fold mean (ddof=0)
mir-SFM,identity_100,0,ab2ag,target→miRNA,26.4,56.3,70.9,
mir-SFM,identity_100,1,ab2ag,target→miRNA,26.4,56.0,70.5,
mir-SFM,identity_100,2,ab2ag,target→miRNA,27.2,57.6,71.5,
mir-SFM,identity_100,3,ab2ag,target→miRNA,29.5,58.3,71.5,
mir-SFM,identity_100,4 *,ab2ag,target→miRNA,17.3,38.6,53.0,
mir-SFM,identity_100,mean_0-4,ab2ag,target→miRNA,25.4 ± 4.2,53.4 ± 7.4,67.5 ± 7.2,5-fold mean (ddof=0)
mir-SFM,mmseqs_080,0,ag2ab,miRNA→target,98.8,99.4,99.5,
mir-SFM,mmseqs_080,1,ag2ab,miRNA→target,99.8,100.0,100.0,
mir-SFM,mmseqs_080,2,ag2ab,miRNA→target,99.9,100.0,100.0,
mir-SFM,mmseqs_080,3,ag2ab,miRNA→target,99.7,100.0,100.0,
mir-SFM,mmseqs_080,4 *,ag2ab,miRNA→target,99.8,100.0,100.0,
mir-SFM,mmseqs_080,mean_0-4,ag2ab,miRNA→target,99.6 ± 0.4,99.9 ± 0.3,99.9 ± 0.2,5-fold mean (ddof=0)
mir-SFM,mmseqs_080,0,ab2ag,target→miRNA,64.0,99.3,99.3,
mir-SFM,mmseqs_080,1,ab2ag,target→miRNA,67.2,99.8,99.8,
mir-SFM,mmseqs_080,2,ab2ag,target→miRNA,76.4,100.0,100.0,
mir-SFM,mmseqs_080,3,ab2ag,target→miRNA,65.7,100.0,100.0,
mir-SFM,mmseqs_080,4 *,ab2ag,target→miRNA,70.7,100.0,100.0,
